iso3c,year,total_deaths,climate_risk,gdp_per_cap,geometry,risk_level,total_deaths_adj
BRA,2019,1685,0.364457385957134,9029.83326742175,"c(-43.2075, -38.56861, -39.31, -39.82556, -38.96667, -38.96576, -38.70906, -38.51083, -38.32722, -38.29917, -38.32417, -38.40389, -39.48667, -40.51372, -40.13194, -40.18944, -42.08139, -41.88528, -40.50083, -40.49861, -40.97083, -41.05768, -40.25356, -40.77111, -42.80194, -40.88944, -40.43333, -39.98795, -40, -40.37611, -40.14889, -40.49833, -40.33408, -40.1296, -39.11917, -39.31528, -39.72417, -39.875, -39.67195, -38.63645, -38.15, -38.39938, -37.05389, -37, -37.26444, -35.42556, -35.46083, -37.85289, 
-38.24194, -38.18333, -38.52806, -38.62028, -38.46056, -38.48333, -38.36667, -37.34417, -38.27361, -38.09806, -38.43474, -38.3725, -38.92056, -39.41778, -39.01528, -38.78972, -38.72969, -38.709916, -38.89746, -39.36219, -39.35999, -39.41746, -39.57861, -39.11639, -38.68556, -38.65306, -38.65677, -38.755937, -38.7283, -38.81667, -39.06727, -39.915, -38.54306, -38.62556, -38.55637, -38.46153, -38.45545, -38.39111, -40.14389, -40.21222, -40.23431, -40.34972, -40.49917, -44.30278, -60.67333, -60.777224, 
-60.8773, -59.83333, -67.81, -70.35486, -72.89583, -72.67756, -70.76556, -63.90389, -60.025, -52.20639, -47.49167, -46.03556, -54.78944, -22.90278, -8.60111, -8.51417, -8.80778, -12.26667, -12.60139, -13.0255, -12.97111, -12.89444, -12.53028, -12.6975, -12.78444, -13.74389, -11.18143, -10.74278, -10.46139, -9.62167, -9.74583, -9.39861, -9.41167, -9.16194, -8.62589, -8.78698, -8.44722, -5.08917, -3.92333, -4.2, -4.39577, -5, -7.07444, -7.65194, -7.57611, -7.78327, -8.03662, -8.07417, -7.21306, -7.51194, 
-6.87444, -7.08567, -7.38806, -7.94139, -8.0909, -8.41889, -8, -8.07361, -5.63444, -5.19889, -4.44714, -4.13306, -4.05, -3.96944, -3.98417, -4.1725, -4.1, -4.57889, -5.1875, -5.27111, -5.14556, -5.0369, -5.10667, -5.30972, -5.80361, -4.97139, -4.08194, -3.99581, -3.970077, -4.019931, -4.14739, -4.25428, -4.40473, -3.49444, -3.67278, -3.89083, -3.73611, -3.7286, -3.638659, -3.6269, -3.58333, -3.56612, -2.92028, -3.71722, -3.87667, -3.90649, -3.95622, -3.8695, -3.90139, -3.31444, -3.46056, -3.83354, 
-3.68611, -3.77472, -2.52972, 2.81972, 2.865111, 2.7624, 3.35972, -9.97472, -8.1654, -7.61417, -7.62759, -8.16139, -8.76194, -3.10194, -3.20333, -5.52639, -7.5325, -22.07889)",NA,1685
BRA,2020,2668,0.36382263807442,7074.19378281866,"c(-43.39944, -43.2075, -43.05389, -40.33778, -39.82556, -39.48167, -38.96667, -38.51083, -38.32722, -38.40389, -40.01278, -42.08139, -40.50083, -40.49861, -40.97083, -40.25356, -40.77111, -42.925, -42.848596, -40.47667, -40.38333, -40, -40.56667, -40.69444, -40.14889, -40.49833, -40.33408, -40.1296, -39.94111, -39.11917, -38.75972, -39.30417, -39.31528, -39.40944, -39.35273, -39.72417, -39.37056, -39.29861, -39.29583, -38.78167, -38.39938, -35.80444, -34.88111, -36.90861, -36.07528, -35.20944, -37.2525, 
-38.24194, -38.27285, -38.52806, -38.62028, -38.63722, -38.585, -38.46056, -38.48333, -38.64306, -38.35, -38.07998, -38.63889, -37.78111, -37.76972, -37.407212, -37.34417, -38.62, -38.4175, -38.20916, -38.27361, -39.29278, -38.76694, -39.14111, -39.01528, -38.66571, -38.82294, -39.31167, -39.045, -38.92333, -38.7, -38.76667, -39.05169, -39.57861, -39.35028, -39.27028, -38.68333, -38.68556, -38.65306, -38.65677, -38.96833, -38.9, -38.66667, -39.14833, -39.06727, -39.03056, -39.38032, -38.54306, -38.62556, 
-38.45056, -38.39111, -38.31655, -40.21222, -40.26056, -40.34972, -40.99014, -40.67861, -44.32583, -44.30278, -59.69556, -60.41806, -61.12806, -60.671075, -60.91146, -60.5975, -60.76667, -60.67333, -60.629314, -61.14639, -61.4841, -68.1, -68.74139, -68.304538, -67.81, -67.73741, -67.95222, -68.67245, -69.25972, -70.35486, -72.89583, -72.652, -70.76556, -60.025, -60.025, -46.63611, -50.99278, -51.23, -22.76417, -22.90278, -22.82694, -20.31944, -8.80778, -9.84139, -12.26667, -12.97111, -12.89444, -12.78444, 
-11.38111, -9.62167, -9.39861, -9.41167, -9.16194, -8.78698, -8.44722, -3.94222, -5.042991, -4.19444, -3.91333, -5, -5.28333, -6.21111, -7.65194, -7.57611, -7.78327, -8.03662, -7.77833, -8.07417, -7.86139, -7.31111, -7.21306, -7.23417, -7.43604, -7.51194, -6.45583, -6.35944, -6.78889, -7.17667, -8.0909, -8.4325, -8.05389, -5.57667, -5.9725, -5.795, -4.83722, -4.13306, -4.03679, -3.96944, -3.98417, -4.03972, -4.185, -4.1725, -4.1, -4.28694, -4.45, -4.43898, -4.97389, -4.83389, -4.56167, -4.949978, 
-5.1875, -5.65806, -5.45639, -5.5241, -5.27111, -5.19917, -5.61278, -4.84333, -4.97139, -4.75045, -4.82065, -4.35889, -4.41833, -4.225, -4.06667, -3.96667, -4.09517, -3.49444, -3.67722, -3.79278, -3.91667, -3.89083, -3.73611, -3.7286, -3.60722, -3.6, -3.68333, -3.43944, -3.56612, -3.41, -3.33156, -3.71722, -3.87667, -3.89, -3.90139, -3.95091, -3.46056, -3.79833, -3.68611, -3.67295, -3.03944, -3.14361, -2.52972, 0.88389, 0.94611, 1.81611, 2.415233, 2.43986, 2.61028, 2.66667, 2.81972, 2.800809, 4.43139, 
2.8108, -10.71667, -11.02889, -9.935458, -9.97472, -10.1497, -9.83056, -9.06341, -8.83889, -8.1654, -7.61417, -7.7368, -8.16139, -3.10194, -2.03444, -23.5475, -29.94218, -30.03306)",NA,2668
BRA,2021,2659,0.364534408387267,7972.53665048385,"c(-42.02622, -43.2095, -43.2075, -43.10361, -43.05389, -44.10417, -44.17139, -40.42, -40.33778, -39.31, -39.82556, -39.48167, -38.96667, -38.51083, -38.32722, -38.32417, -38.40389, -41.89093, -40.51372, -40.36083, -40.18944, -42.08139, -40.50083, -40.49861, -40.77516, -40.97083, -44.59194, -44.79167, -44.12417, -44.33333, -43.36028, -42.925, -42.83667, -42.80194, -43.35611, -40, -40.1296, -39.57833, -39.29861, -38.49694, -38.16722, -38.39938, -36.69639, -35.97611, -35.88111, -36.880118, -36.90861, 
-36.90889, -35.35389, -35.23778, -35.364598, -35.20566, -35.20944, -35.25248, -35.33245, -35.3934, -35.42556, -36.63444, -36.88333, -37.13694, -37.2525, -38.52806, -38.46056, -38.483333, -37.30139, -37.61667, -37.55, -37.4, -37.44028, -37.34417, -37.81667, -37.52083, -37.55667, -37.763055, -37.79889, -38.06, -39.01528, -38.88472, -39.58056, -38.68556, -38.65306, -38.54306, -40.26056, -40.34972, -41.09222, -41.77667, -43.11611, -44.31556, -44.32583, -44.065, -43.85169, -44.80121, -44.30278, -44.1075, 
-44.05992, -50.96274, -51.06639, -60.41806, -60.039806, -61.12806, -61.04111, -60.67333, -60.8773, -61.011443, -60.9699, -61.279277, -59.83333, -68.74806, -67.81, -67.73741, -67.5325, -68.67245, -70.35486, -72.652, -72.67756, -63.90389, -63, -60.18611, -60.01282, -60.025, -51.18167, -51.12609, -45.0825, -45.12244, -45.00361, -45.01083, -45.035544, -45.65833, -47.49167, -47.50472, -45.38, -45.11667, -45.32972, -47.39917, -49.90222, -67.18556, -46.63611, -51.23, -51.18361, -22.88717, -22.1183, -22.90278, 
-22.88333, -22.82694, -22.52306, -22.54417, -20.26389, -20.31944, -8.51417, -8.80778, -9.84139, -12.26667, -12.97111, -12.89444, -12.6975, -12.78444, -13.12099, -11.18143, -10.74167, -10.46139, -9.62167, -9.39861, -9.41167, -9.59037, -9.16194, -4.56889, -4.29167, -4.13, -4.38333, -3.74167, -3.94222, -5.09417, -5.08917, -4.85889, -5, -8.03662, -8.09056, -6.35944, -6.21194, -6.29417, -8.0909, -8.35778, -8.28333, -7.23056, -5.401161, -5.57667, -5.54389, -5.85833, -6.07472, -6.088581, -5.92446, -5.795, 
-5.69421, -5.77241, -5.778685, -5.63444, -5.115, -4.95, -4.95611, -4.83722, -3.96944, -4.1725, -4.3, -4.93389, -5.08, -5.08333, -5.18333, -5.19806, -5.1875, -5.58333, -5.45889, -5.7925, -5.666666, -5.66417, -5.78806, -4.97139, -4.32861, -3.98889, -3.89083, -3.73611, -3.71722, -3.79833, -3.68611, -3.56222, -2.90472, -3.67167, -2.97083, -3.14361, -2.9275, -3.60095, -2.41812, -2.52972, -2.53222, -2.55572, 0.58767, 0.03889, 0.94611, 1.017924, 1.81611, 2.18222, 2.81972, 2.7624, 2.913117, 2.907, 3.427511, 
3.35972, -11.01611, -9.97472, -10.1497, -9.58833, -9.06341, -8.1654, -7.7368, -7.62759, -8.76194, -5, -3.28472, -3.04361, -3.10194, -0.05833, -0.0329, -2.52139, -2.69907, -3.22028, -3.32083, -3.545194, -3.27472, -5.52639, -4.94667, -3.66667, -4.55, -4.81306, -6.33833, -6.0675, -10.33528, -23.5475, -30.03306, -29.91778)",NA,2659
BRA,2022,1656,0.363484776560173,9281.33334441234,"c(-41.78324, -42.20417, -43.2095, -43.2075, -43.05389, -35.48602, -35.59167, -35.74969, -36.54, -37.12611, -37.19333, -39.5779, -39.82556, -37.7499, -37.41667, -37.34278, -37.36207, -37.31528, -37.42528, -37.79, -37.43833, -38.96667, -38.72196, -38.67861, -38.70906, -38.51083, -38.32722, -38.05093, -38.20623, -38.29694, -38.32417, -38.40389, -38.49528, -38.41917, -37.20639, -37.07167, -37.03861, -39.33134, -39.22679, -41.89093, -40.18944, -40.50083, -40.49861, -40.77516, -40.97083, -41.05768, -40.25356, 
-40.77111, -43.0225, -42.63611, -44.79167, -44.475, -43.94056, -43.88556, -43.36028, -42.71, -42.57556, -42.672349, -42.7407, -42.83667, -42.80194, -42.732406, -42.898412, -43.35611, -42.66667, -42.16861, -42.46, -42.23361, -41.77694, -41.45861, -40.92611, -40.6775, -42.14028, -41.54919, -40.90444, -40.49833, -40.33408, -39.11917, -39.31528, -39.40944, -37.49716, -37.33463, -38.39938, -37, -35.97611, -36.23306, -36.14278, -35.09222, -35.01472, -35.29278, -35.88111, -34.95, -34.83686, -34.83389, -34.86306, 
-34.93222, -34.9075, -34.97806, -35.14179, -35.43389, -35.49, -37.28, -37.10139, -37.2624, -37.294723, -37.042265, -36.83, -36.83444, -36.81667, -36.911194, -36.867802, -36.90861, -36.92505, -36.874443, -36.87139, -36.07528, -35.3036, -35.35389, -35.3092, -35.23778, -35.20861, -35.103721, -35.20566, -35.20944, -35.33245, -36.78167, -37.15472, -37.13694, -37.2525, -38.24194, -38.52806, -38.62028, -38.48333, -37.409914, -37.403026, -37.407212, -37.52234, -37.61667, -37.34417, -37.52083, -37.55667, 
-37.81444, -37.95778, -37.79889, -38.06, -38.018004, -38.045, -39.01528, -39.27028, -38.68556, -38.65306, -39.03056, -38.54306, -38.62556, -38.39111, -40.34972, -41.44222, -41.66694, -41.82139, -41.77667, -41.86694, -43.46111, -44.235, -44.32583, -43.91583, -44.59857, -44.88028, -44.7954, -44.30278, -44.1075, -44.05992, -44.10333, -51.06639, -51.38835, -60.41806, -60.581846, -60.67333, -60.608663, -61.05051, -61.14639, -60.04239, -59.62278, -60.16778, -61.4975, -61.581805, -69.56694, -68.1, -68.74139, 
-68.74806, -67.81, -67.73741, -67.95222, -67.990727, -68.67245, -69.25972, -70.328925, -70.35486, -72.67756, -70.76556, -65.738662, -64.95, -64.40194, -63.69556, -63.90389, -63.46214, -63.19293, -62.58528, -60.18611, -60.01282, -60.025, -60.44644, -51.204208, -51.18167, -46.12833, -47.49167, -47.50472, -46.85326, -45.38, -45.11667, -47.42583, -46.03556, -56.09667, -56.837624, -56, -60.14583, -61.95417, -62.31583, -62.71139, -62.36083, -62.21583, -61.95167, -61.90139, -61.98139, -63.04083, -63.96016, 
-63.03111, -63.5675, -64.531629, -65.36724, -66.60587, -66.936368, -55.72556, -46.63611, -22.38484, -22.48056, -22.1183, -22.90278, -22.82694, -8.76138, -8.68333, -8.66194, -10.43639, -10.855, -10.49167, -8.49405, -8.80778, -10.36555, -10.53944, -10.5775, -10.63351, -10.75778, -10.685, -11.27389, -11.26833, -12.26667, -12.55136, -12.88833, -13.0255, -12.97111, -12.89444, -12.5896, -12.66583, -12.6125, -12.6975, -12.78444, -12.5125, -12.13556, -11.01472, -10.91111, -10.90889, -14.80762, -13.00796, 
-13.12099, -10.46139, -9.39861, -9.41167, -9.59037, -9.16194, -8.62589, -8.78698, -8.44722, -6.76694, -5.89222, -4.29167, -4.04167, -4.25528, -4.45528, -3.74167, -3.89333, -4.75639, -5.090818, -5.10252, -5.09417, -5.08917, -4.997852, -5.062678, -4.85889, -5.25, -4.82778, -5.03806, -3.90167, -4.27333, -4.42472, -4.74472, -5.17833, -6.20194, -7.6803, -7.355, -7.57611, -7.78327, -8.07417, -7.21306, -7.23417, -6.32578, -7.34462, -8.0909, -8, -8.28333, -8.48639, -8.32583, -8.11861, -8.11278, -8.00167, 
-7.23056, -7.35, -7.41381, -6.98111, -7.115, -7.125, -7.25972, -7.11389, -7.14752, -6.47806, -6.85472, -7.02444, -5.77444, -5.643, -5.281062, -5.20432, -5.40361, -5.34833, -5.43333, -5.467267, -5.608004, -5.57667, -5.58487, -5.5822, -5.64417, -5.9725, -5.8783, -5.85833, -5.8485, -6.07472, -6.09111, -6.059029, -5.92446, -5.795, -5.77241, -5.06778, -4.97972, -4.95611, -4.83722, -4.13306, -3.96944, -3.98417, -4.1, -4.909812, -4.943488, -4.949978, -4.97189, -5.08, -5.1875, -5.45889, -5.7925, -5.99056, 
-5.77722, -5.66417, -5.78806, -5.765989, -5.93, -4.97139, -3.79278, -3.89083, -3.73611, -3.41, -3.71722, -3.87667, -3.90139, -3.68611, -2.90889, -2.87917, -2.85833, -2.90472, -3.175, -2.59833, -2.93444, -3.14361, -3.54306, -3.24611, -2.89417, -2.9787, -2.52972, -2.53222, -2.55572, -2.42306, 0.03889, 0.18128, 0.94611, 1.866108, 2.81972, 2.812682, 2.939785, 4.43139, 3.87847, 3.88111, 4.59556, 2.89583, 2.720804, -10.94139, -10.71667, -11.02889, -11.01611, -9.97472, -10.1497, -9.83056, -9.615211, -9.06341, 
-8.83889, -8.295878, -8.1654, -7.62759, -8.16139, -9.660778, -9.63333, -9.26083, -8.80972, -8.76194, -9.29222, -9.18017, -9.36278, -3.28472, -3.04361, -3.10194, -3.10145, -0.011278, -0.05833, -2.10694, -5.52639, -4.94667, -4.4835, -3.66667, -4.55, -5.5575, -7.5325, -15.59611, -14.34441, -13, -12.74056, -11.96806, -11.71972, -11.69361, -11.14056, -10.74806, -10.88528, -11.17528, -9.44389, -9.91333, -9.659, -11.79806, -12.05222, -9.709544, -9.69993, -9.7721, -10.140115, -22.53611, -23.5475)",NA,1656
CHN,2005,12,0.376795391708167,1011.0732858233,"c(115.347498, 106.552778, 22.781986, 29.562778)",NA,12
CHN,2007,0,0.372244985722874,1011.0732858233,"c(76.171563, 39.668053)",NA,0.1
CHN,2008,87,0.36974847743871,1011.0732858233,"c(113.1, 101.930442, 99.551807, 100.32843, 99.840158, 100.147055, 91.1, 91.346945, 87.600459, 82.936389, 76.65, 75.979722, 30.65, 32.919936, 34.085949, 32.465714, 32.045186, 28.915984, 29.65, 30.146105, 43.800965, 41.727778, 39.483333, 39.454722)",NA,87
CHN,2009,189,0.367391641491228,1011.0732858233,"c(113.583333, 101.5, 98.553406, 87.600459, 75.979722, 24.8, 25, 24.114939, 43.800965, 39.454722)",NA,189
CHN,2015,5,0.358001172326772,8016.44559489998,"c(100.08, 23.88)",NA,5
CHN,2017,6,0.357106873946751,8817.04560829162,"c(79.929038, 37.11267)",NA,6
